order_date,customer_state,product_category_name,revenue,freight_total
2017-03-27,MG,moveis_decoracao,388.90,40.22
2018-08-09,MG,beleza_saude,389.20,72.07
2017-08-01,SP,brinquedos,242.69,49.94
2018-01-22,RJ,eletronicos,69.70,44.99
2018-02-22,DF,eletronicos,13.30,14.10
2018-04-28,SP,relogios_presentes,645.90,69.90
2018-07-23,SP,automotivo,828.88,91.72
2018-05-06,GO,sinalizacao_e_seguranca,75.90,21.32
2018-03-04,SC,automotivo,69.99,15.24
2017-08-06,SP,,46.99,13.08
2017-03-18,PA,tablets_impressao_imagem,99.00,25.18
2018-05-26,SP,pet_shop,29.90,9.44
2018-01-19,GO,utilidades_domesticas,37.40,17.60
2017-06-02,SP,ferramentas_jardim,341.10,23.83
2017-07-20,RS,cama_mesa_banho,205.00,26.27
2017-11-23,SP,perfumaria,181.25,21.72
2017-11-25,BA,moveis_decoracao,126.79,56.23
2017-11-20,MT,utilidades_domesticas,99.75,23.57
2018-01-16,SP,eletroportateis,59.42,11.73
2018-07-30,MS,brinquedos,39.90,23.08
2018-08-22,MA,beleza_saude,66.99,9.16
2018-06-24,MG,esporte_lazer,67.90,39.29
2017-04-26,PI,brinquedos,164.98,25.64
2018-02-26,RJ,esporte_lazer,1559.18,90.60
2018-05-30,BA,esporte_lazer,135.00,32.75
2017-12-26,MG,cama_mesa_banho,89.90,17.88
2018-03-02,RS,,122.99,15.61
2017-05-29,SP,instrumentos_musicais,723.74,17.02
2017-02-14,ES,utilidades_domesticas,169.90,19.89
2017-09-27,SP,cool_stuff,282.89,33.67
2018-04-14,PR,moveis_decoracao,89.18,16.59
2017-11-30,SC,brinquedos,168.98,55.23
2018-02-20,RS,casa_construcao,459.99,55.82
2018-08-04,RJ,beleza_saude,712.99,66.60
2018-07-13,GO,utilidades_domesticas,169.49,68.23
2018-04-24,SP,informatica_acessorios,216.22,62.69
2018-03-01,PE,beleza_saude,539.92,22.32
2017-08-13,RJ,bebes,139.00,20.21
2017-07-24,DF,eletrodomesticos,19.95,15.10
2017-03-15,PE,consoles_games,689.89,31.09
2018-01-28,PE,telefonia,39.99,17.63
2018-04-06,PR,esporte_lazer,199.98,42.94
2018-04-11,MG,eletroportateis,49.10,22.06
2018-02-07,RJ,perfumaria,69.90,16.93
2018-08-06,RS,beleza_saude,188.99,119.54
2017-12-03,BA,esporte_lazer,29.50,35.67
2017-10-13,RJ,construcao_ferramentas_construcao,99.89,9.71
2017-08-16,ES,automotivo,54.90,15.13
2018-08-07,RJ,beleza_saude,497.90,40.77
2017-11-27,RJ,bebes,52.00,16.61
2018-04-16,MS,eletronicos,12.25,18.23
2018-07-07,RS,beleza_saude,52.14,21.67
2017-01-13,SP,ferramentas_jardim,380.00,45.07
2018-07-24,DF,utilidades_domesticas,129.97,17.10
2017-09-10,SP,cool_stuff,170.80,36.33
2018-08-04,RN,beleza_saude,207.90,30.71
2017-03-15,SP,fashion_bolsas_e_acessorios,49.00,8.72
2018-02-15,PR,papelaria,45.00,15.10
2018-01-15,RS,consoles_games,359.00,18.27
2017-09-25,RJ,malas_acessorios,92.00,31.60
2017-03-23,GO,moveis_decoracao,109.90,25.51
2018-03-26,DF,eletronicos,28.54,22.94
2018-02-24,SP,telefonia,170.53,46.68
2017-05-01,PR,cool_stuff,289.98,37.05
2018-04-27,MG,utilidades_domesticas,1108.58,236.45
2018-02-09,MG,esporte_lazer,117.00,15.57
2018-08-01,SP,papelaria,958.94,155.94
2018-03-31,AM,informatica_acessorios,145.00,28.07
2018-07-21,PR,utilidades_domesticas,181.90,50.13
2018-01-06,SP,ferramentas_jardim,230.00,32.89
2018-08-20,RJ,automotivo,749.99,71.84
2017-03-24,RJ,beleza_saude,59.90,17.85
2018-02-22,CE,bebes,59.99,25.70
2018-07-08,PE,construcao_ferramentas_jardim,198.00,39.66
2018-03-30,PR,eletrodomesticos,699.00,19.77
2018-03-05,RS,livros_interesse_geral,19.95,15.10
2018-01-10,SP,moveis_escritorio,758.94,165.43
2017-12-11,RS,beleza_saude,92.90,11.70
2017-10-30,SP,,117.70,46.33
2018-02-19,RS,informatica_acessorios,492.00,45.24
2018-01-10,ES,cool_stuff,29.50,19.84
2017-09-13,BA,fashion_bolsas_e_acessorios,29.90,16.79
2018-07-24,DF,relogios_presentes,479.99,21.46
2017-08-09,RJ,ferramentas_jardim,148.90,48.02
2018-07-16,PR,esporte_lazer,69.90,13.97
2017-12-11,SP,artigos_de_festas,257.60,19.05
2017-03-18,PA,esporte_lazer,309.00,27.90
2018-03-04,PR,fashion_bolsas_e_acessorios,49.00,14.10
2018-07-04,MT,moveis_decoracao,70.00,50.76
2017-10-19,RS,brinquedos,369.90,27.63
2018-06-13,SC,pet_shop,56.99,17.33
2018-02-07,PE,beleza_saude,150.00,33.94
2018-03-16,SP,ferramentas_jardim,223.50,82.87
2018-07-03,RS,relogios_presentes,63.98,19.64
2017-06-10,BA,cama_mesa_banho,93.00,18.22
2017-07-03,RJ,cama_mesa_banho,517.96,85.97
2017-06-14,MS,esporte_lazer,35.90,16.11
2018-07-14,SC,telefonia,29.99,18.31
2017-06-01,SP,moveis_decoracao,469.59,91.33
2018-04-09,MG,cama_mesa_banho,189.80,46.48
2017-07-27,BA,cool_stuff,55.90,26.93
2018-03-09,RJ,construcao_ferramentas_jardim,410.00,25.45
2017-09-17,PR,cool_stuff,304.90,16.88
2018-03-30,PR,moveis_escritorio,969.00,128.70
2018-04-01,DF,cama_mesa_banho,219.80,45.06
2017-10-06,BA,alimentos_bebidas,104.00,25.22
2017-08-28,GO,esporte_lazer,37.49,15.10
2017-07-14,PA,informatica_acessorios,280.00,27.24
2017-06-05,SP,pet_shop,51.99,14.11
2017-10-27,RS,ferramentas_jardim,739.00,38.00
2017-12-12,RS,utilidades_domesticas,271.26,47.40
2017-10-31,ES,perfumaria,56.99,14.15
2018-06-28,GO,consoles_games,69.90,19.68
2017-07-01,SC,cama_mesa_banho,45.95,15.10
2017-05-15,AM,cool_stuff,199.00,37.56
2018-05-06,PI,relogios_presentes,735.00,55.65
2017-11-25,MG,informatica_acessorios,670.88,73.94
2018-07-11,MA,pet_shop,90.00,51.35
2018-02-07,MG,eletronicos,142.70,63.79
2017-08-27,RJ,moveis_decoracao,275.20,60.17
2018-03-04,MG,esporte_lazer,113.00,43.62
2017-02-23,SP,beleza_saude,223.87,44.28
2018-07-03,CE,perfumaria,119.00,23.55
2018-02-26,RJ,automotivo,329.90,24.18
2018-01-24,MG,informatica_acessorios,488.69,72.16
2017-12-19,SP,,141.54,34.10
2018-02-02,RS,esporte_lazer,363.60,107.26
2017-09-03,SP,perfumaria,125.90,12.38
2018-06-03,DF,automotivo,34.75,18.23
2018-07-10,GO,telefonia,219.00,24.25
2018-02-14,RJ,brinquedos,42.00,15.10
2018-06-26,ES,utilidades_domesticas,154.00,27.38
2018-03-28,SC,ferramentas_jardim,138.89,18.85
2018-03-24,CE,esporte_lazer,39.60,30.60
2018-05-22,BA,utilidades_domesticas,150.00,20.73
2017-06-26,PR,agro_industria_e_comercio,1390.00,32.05
2018-02-04,SP,informatica_acessorios,869.79,100.60
2017-12-10,MG,relogios_presentes,2158.90,57.37
2017-12-02,SP,perfumaria,443.90,36.44
2018-07-22,MG,esporte_lazer,44.95,18.42
2018-07-02,MG,beleza_saude,158.80,46.14
2018-02-12,SP,cool_stuff,1086.98,72.00
2018-03-05,SP,casa_conforto_2,34.99,9.34
2018-02-18,PR,utilidades_domesticas,18.60,16.11
2017-09-29,MG,perfumaria,56.99,8.72
2017-10-11,RJ,cama_mesa_banho,506.59,102.94
2017-05-15,AL,automotivo,99.90,38.25
2018-06-14,MA,brinquedos,109.80,53.12
2017-06-13,SP,perfumaria,698.90,28.85
2018-01-16,MG,esporte_lazer,168.99,15.93
2018-04-23,SC,beleza_saude,268.48,94.90
2018-02-10,MG,telefonia,24.89,15.10
2018-08-22,SP,perfumaria,493.39,73.34
2018-03-14,RS,fashion_bolsas_e_acessorios,64.90,18.33
2018-05-13,RS,industria_comercio_e_negocios,79.00,26.63
2017-02-05,RJ,moveis_decoracao,370.90,89.19
2018-06-11,PR,ferramentas_jardim,49.90,41.11
2017-09-18,DF,esporte_lazer,106.00,14.49
2018-03-23,DF,utilidades_domesticas,25.00,15.23
2018-07-25,MG,moveis_decoracao,138.89,38.26
2017-05-27,SC,brinquedos,109.90,18.02
2017-09-01,RS,perfumaria,56.99,14.15
2017-08-26,RJ,brinquedos,55.00,17.64
2018-02-26,MS,automotivo,48.50,15.10
2017-02-19,RS,telefonia,75.90,32.07
2017-03-25,SP,moveis_decoracao,36.90,14.52
2018-07-18,SC,instrumentos_musicais,299.90,19.03
2017-05-31,SP,climatizacao,99.99,15.45
2017-07-21,RJ,perfumaria,113.98,28.30
2017-03-21,SP,telefonia,59.99,8.79
2017-07-01,SP,perfumaria,239.80,22.20
2017-07-05,DF,informatica_acessorios,149.84,18.30
2018-08-11,ES,cool_stuff,89.00,16.81
2017-08-15,AL,brinquedos,89.90,21.43
2018-07-27,PB,bebes,73.99,62.77
2018-06-26,MT,automotivo,15.90,17.06
2017-03-20,RJ,agro_industria_e_comercio,22.00,14.52
2017-08-22,GO,beleza_saude,98.00,16.45
2017-02-02,RS,telefonia,104.00,16.43
2018-04-28,RJ,livros_tecnicos,37.50,16.32
2018-05-08,SP,informatica_acessorios,533.95,74.75
2018-06-08,SP,bebes,1380.10,142.60
2017-11-15,SP,eletronicos,59.90,12.76
2018-02-09,PR,utilidades_domesticas,339.98,33.90
2018-08-18,RJ,telefonia,1789.00,57.77
2018-01-30,PE,fashion_bolsas_e_acessorios,24.90,21.15
2018-01-08,SP,utilidades_domesticas,739.01,156.23
2017-10-10,RJ,esporte_lazer,487.60,70.50
2017-02-08,MG,esporte_lazer,306.00,57.64
2018-06-27,MG,cama_mesa_banho,247.90,51.19
2018-05-23,SP,brinquedos,343.40,61.88
2017-11-15,MG,beleza_saude,579.70,52.80
2018-03-15,ES,telefonia,39.99,18.23
2017-04-03,RS,informatica_acessorios,27.90,20.40
2018-06-01,PR,esporte_lazer,45.00,18.23
2018-04-02,PR,construcao_ferramentas_construcao,1514.00,36.68
2017-08-30,RJ,ferramentas_jardim,349.89,80.44
2016-10-10,RJ,telefonia_fixa,6.00,14.11
2018-07-27,RS,moveis_sala,415.90,137.13
2017-10-23,SP,consoles_games,241.40,51.38
2017-09-13,SP,relogios_presentes,257.00,31.70
2017-10-22,MG,automotivo,89.90,17.88
2017-07-21,BA,informatica_acessorios,55.80,33.58
2018-03-30,CE,ferramentas_jardim,32.90,37.04
2018-04-26,SE,construcao_ferramentas_seguranca,77.90,67.47
2017-08-28,MG,utilidades_domesticas,89.90,16.39
2018-01-29,MG,automotivo,28.50,15.10
2017-09-14,MG,cama_mesa_banho,331.98,48.00
2018-05-10,MG,malas_acessorios,249.00,66.37
2017-09-11,GO,perfumaria,119.00,15.58
2018-06-24,SP,market_place,47.90,16.53
2017-09-01,DF,telefonia,24.99,14.10
2018-04-29,RJ,livros_tecnicos,57.49,17.98
2017-09-13,MG,perfumaria,263.10,33.84
2017-11-03,BA,relogios_presentes,89.00,17.19
2017-06-13,MG,perfumaria,279.00,13.45
2017-09-11,ES,perfumaria,131.40,43.32
2017-08-06,MA,moveis_decoracao,24.90,35.67
2017-07-27,BA,relogios_presentes,159.90,11.18
2018-08-02,PI,beleza_saude,75.80,23.25
2018-05-03,SC,papelaria,127.00,27.62
2018-06-12,SP,consoles_games,23.89,18.27
2018-07-25,SC,market_place,47.90,9.65
