date,year,month,day,dow
2018-03-09,2018,3,9,Fri
2017-01-27,2017,1,27,Fri
2018-07-04,2018,7,4,Wed
2017-11-04,2017,11,4,Sat
2017-05-05,2017,5,5,Fri
2018-05-14,2018,5,14,Mon
2017-07-31,2017,7,31,Mon
2017-04-16,2017,4,16,Sun
2017-10-12,2017,10,12,Thu
2018-04-27,2018,4,27,Fri
2017-07-25,2017,7,25,Tue
2017-03-23,2017,3,23,Thu
2018-06-02,2018,6,2,Sat
2017-06-29,2017,6,29,Thu
2018-03-31,2018,3,31,Sat
2018-01-09,2018,1,9,Tue
2017-02-22,2017,2,22,Wed
2018-04-19,2018,4,19,Thu
2018-10-16,2018,10,16,Tue
2017-12-04,2017,12,4,Mon
2017-12-23,2017,12,23,Sat
2018-08-19,2018,8,19,Sun
2017-08-10,2017,8,10,Thu
2018-07-05,2018,7,5,Thu
2017-01-29,2017,1,29,Sun
2017-09-06,2017,9,6,Wed
2017-05-20,2017,5,20,Sat
2018-05-18,2018,5,18,Fri
2017-06-28,2017,6,28,Wed
2018-02-24,2018,2,24,Sat
2018-06-14,2018,6,14,Thu
2018-02-15,2018,2,15,Thu
2017-10-18,2017,10,18,Wed
2017-12-20,2017,12,20,Wed
2018-02-09,2018,2,9,Fri
2017-02-24,2017,2,24,Fri
2018-08-17,2018,8,17,Fri
2017-10-26,2017,10,26,Thu
2017-06-13,2017,6,13,Tue
2017-09-11,2017,9,11,Mon
2018-01-17,2018,1,17,Wed
2018-06-17,2018,6,17,Sun
2018-03-26,2018,3,26,Mon
2018-09-13,2018,9,13,Thu
2018-04-29,2018,4,29,Sun
2017-05-17,2017,5,17,Wed
2018-03-16,2018,3,16,Fri
2018-05-21,2018,5,21,Mon
2017-03-25,2017,3,25,Sat
2018-02-28,2018,2,28,Wed
2017-10-27,2017,10,27,Fri
2017-10-25,2017,10,25,Wed
2017-05-29,2017,5,29,Mon
2017-04-19,2017,4,19,Wed
2017-05-27,2017,5,27,Sat
2017-12-13,2017,12,13,Wed
2018-02-05,2018,2,5,Mon
2017-08-08,2017,8,8,Tue
